ring_index,point_index,x,y
0,0,1516.5,1121.5
0,1,1517.75,1120.75
0,2,1528.25,1126.75
0,3,1529.5,1144.75
0,4,1521.25,1150
0,5,1506.75,1147
0,6,1503.25,1136.5
0,7,1509.5,1123.75
1,0,1514.75,1099.75
1,1,1500.5,1104.25
1,2,1488.25,1119.5
1,3,1484.25,1142.75
1,4,1494.25,1158.5
1,5,1517,1169.5
1,6,1533.5,1167.5
1,7,1543,1157
1,8,1545.5,1147.5
1,9,1548.75,1121
1,10,1536.25,1106.25
1,11,1528.5,1102.75
2,0,1531.75,1079.75
2,1,1554.25,1092.75
2,2,1565.75,1114
2,3,1570,1130.25
2,4,1566,1152.25
2,5,1555.5,1175.5
2,6,1534.25,1188.25
2,7,1501.75,1187.75
2,8,1477.5,1172.5
2,9,1466,1149.75
2,10,1462,1120
2,11,1471.5,1098.25
2,12,1494.75,1081.5
2,13,1521,1076.25
3,0,1537,1048
3,1,1561.75,1060.25
3,2,1586,1083.5
3,3,1594.75,1104.25
3,4,1597,1126.5
3,5,1595.75,1152
3,6,1590,1174.5
3,7,1572,1203.25
3,8,1553,1214.25
3,9,1527,1223
3,10,1496.75,1223.25
3,11,1477.75,1217.75
3,12,1460.5,1209.5
3,13,1437.5,1187
3,14,1424,1152.75
3,15,1427,1104.75
3,16,1443.25,1075
3,17,1479.75,1054
3,18,1511.25,1044.75
3,19,1533.25,1047.5
4,0,1542.75,1013.25
4,1,1582.5,1038.75
4,2,1612.25,1070.75
4,3,1625,1101.5
4,4,1628.25,1148.75
4,5,1618.5,1201.75
4,6,1581,1244.5
4,7,1553.75,1259.25
4,8,1510.25,1269.5
4,9,1419.25,1247.25
4,10,1376,1205
4,11,1357.1666,1163.8334
4,12,1356.5,1111.5
4,13,1384.1666,1059.8334
4,14,1444.1666,1013.8333
4,15,1504.1666,1003.8333
4,16,1536.1666,1010.5
5,0,1521.1666,979.8333
5,1,1557.1666,985.5
5,2,1599.8333,1011.5
5,3,1636.1666,1050.5
5,4,1655.1666,1101.8333
5,5,1660.5,1139.5
5,6,1654.5,1197.8333
5,7,1637.5,1242.5
5,8,1591.8333,1289.8333
5,9,1540.5,1315.5
5,10,1474.5,1314.1666
5,11,1406.8333,1285.5
5,12,1364.1666,1239.5
5,13,1333.8333,1183.8333
5,14,1326.5,1143.1666
5,15,1329.5,1102.5
5,16,1344.8333,1056.8333
5,17,1385.5,1014.1666
5,18,1413.8333,995.1666
5,19,1440.1666,978.5
5,20,1483.5,975.8333
5,21,1519.1666,979.5
6,0,1521.5,957.1667
6,1,1558.8334,965.5
6,2,1588.1666,977.1667
6,3,1609.5,994.5
6,4,1633.8334,1018.1667
6,5,1664.1666,1062.5
6,6,1682.1666,1108.5
6,7,1689.1666,1140.8334
6,8,1689.1666,1187.8334
6,9,1674.1666,1233.1667
6,10,1656.1666,1274.1667
6,11,1631.1666,1304.1667
6,12,1599.1666,1329.8334
6,13,1564.5,1343.5
6,14,1518.8334,1347.8334
6,15,1472.5,1347.1667
6,16,1433.1666,1331.8334
6,17,1391.1666,1307.8334
6,18,1333.5,1244.8334
6,19,1299.5,1174.5
6,20,1293.5,1142.8334
6,21,1295.1666,1100.5
6,22,1315.8334,1042.5
6,23,1351.1666,1006.1667
6,24,1400.8334,974.5
6,25,1447.8334,959.5
6,26,1492.1666,954.1667
6,27,1516.5,955.8334
7,0,1527.1666,927.5
7,1,1576.8333,938.5
7,2,1618.8333,959.8333
7,3,1641.5,981.1667
7,4,1680.1666,1027.5
7,5,1712.1666,1099.5
7,6,1719.5,1137.8334
7,7,1718.1666,1205.5
7,8,1696.1666,1279.8334
7,9,1656.1666,1342.8334
7,10,1606.1666,1381.5
7,11,1569.1666,1395.1666
7,12,1515.5,1396.8334
7,13,1443.5,1392.8334
7,14,1380.1666,1361.8334
7,15,1310.1666,1294.8334
7,16,1276.1666,1243.1666
7,17,1248.5,1182.5
7,18,1238.5,1122.5
7,19,1254.5,1046.8334
7,20,1294.8333,993.8333
7,21,1356.1666,955.1667
7,22,1422.1666,929.8333
7,23,1490.8333,922.8333
7,24,1518.5,925.8333
8,0,1508.8334,910.5
8,1,1572.1667,922.8333
8,2,1618.8334,946.1667
8,3,1686.8334,1013.1667
8,4,1717.1667,1073.1666
8,5,1734.5,1131.1666
8,6,1735.8334,1204.1666
8,7,1718.5,1271.1666
8,8,1689.1667,1335.5
8,9,1648.1667,1382.5
8,10,1619.1667,1406.5
8,11,1570.8334,1426.5
8,12,1502.5,1432.8333
8,13,1433.5,1422.5
8,14,1389.1667,1397.1666
8,15,1321.5,1332.1666
8,16,1280.8334,1280.1666
8,17,1241.5,1207.8334
8,18,1225.1667,1138.1666
8,19,1226.1667,1084.1666
8,20,1239.1667,1030.5
8,21,1273.1667,983.8333
8,22,1317.5,950.5
8,23,1378.8334,920.8333
8,24,1431.5,908.1667
8,25,1477.1667,906.5
8,26,1500.8334,909.1667
8,27,1501.1667,909.1667
9,0,1509.8334,890.8333
9,1,1574.5,904.8333
9,2,1635.1667,934.5
9,3,1711.5,1001.1666
9,4,1742.8334,1066.1666
9,5,1761.5,1150.8333
9,6,1756.8334,1239.5
9,7,1717.5,1338.8333
9,8,1681.5,1384.8333
9,9,1624.1667,1434.8333
9,10,1554.8334,1457.5
9,11,1470.1667,1458.1666
9,12,1374.1667,1426.8333
9,13,1324.5,1372.5
9,14,1278.5,1323.5
9,15,1240.5,1277.5
9,16,1210.5,1219.5
9,17,1190.5,1142.5
9,18,1191.5,1073.5
9,19,1218.5,1006.5
9,20,1254.5,966.5
9,21,1333.5,918.5
9,22,1404.5,888.5
9,23,1484.5,885.5
9,24,1485.5,885.5
10,0,1514,868
10,1,1598,892
10,2,1678,939
10,3,1737,1000
10,4,1765,1067
10,5,1789,1147
10,6,1785,1234
10,7,1765,1313
10,8,1733,1376
10,9,1687,1436
10,10,1623,1475
10,11,1540,1492
10,12,1421,1479
10,13,1326,1424
10,14,1266,1356
10,15,1218,1285
10,16,1175,1219
10,17,1161,1162
10,18,1155,1081
10,19,1176,1003
10,20,1230,935
10,21,1289,902
10,22,1352,874
10,23,1412,857
10,24,1454,861
11,0,1475,842
11,1,1566,859
11,2,1643,887
11,3,1695,927
11,4,1735,959
11,5,1773,1022
11,6,1790,1074
11,7,1808,1150
11,8,1805,1234
11,9,1790,1306
11,10,1758,1376
11,11,1710,1442
11,12,1644,1491
11,13,1568,1522
11,14,1512,1526
11,15,1433,1516
11,16,1361,1489
11,17,1287,1417
11,18,1217,1346
11,19,1164,1278
11,20,1135,1227
11,21,1116,1147
11,22,1118,1062
11,23,1138,996
11,24,1185,936
11,25,1244,892
11,26,1297,870
11,27,1383,839
11,28,1408,836
11,29,1468,841
12,0,1409.5,802.5
12,1,1515.5,816
12,2,1581.5,830
12,3,1651,861.5
12,4,1708,895.5
12,5,1758.5,943.5
12,6,1791,991
12,7,1817,1054
12,8,1833,1110.5
12,9,1839.5,1165
12,10,1838,1225
12,11,1827.5,1301.5
12,12,1803,1363.5
12,13,1772,1419.5
12,14,1737,1466
12,15,1685.5,1508.5
12,16,1604,1552
12,17,1548,1565.5
12,18,1511,1572
12,19,1455.5,1563
12,20,1381,1542.5
12,21,1336,1523.5
12,22,1290.5,1494.5
12,23,1237.5,1442.5
12,24,1161,1363.5
12,25,1108.1666,1293.8334
12,26,1076.8334,1224.5
12,27,1061.5,1151.8334
12,28,1059.5,1076.5
12,29,1077.5,1000.5
12,30,1120.8334,935.1667
12,31,1171.5,889.1667
12,32,1239.5,852.5
12,33,1308.8334,827.8333
12,34,1391.5,803.1667
13,0,1410,777
13,1,1530,792
13,2,1599,813
13,3,1660,837
13,4,1717,877
13,5,1764,922
13,6,1799,965
13,7,1830,1031
13,8,1852,1103
13,9,1861,1149
13,10,1862,1233
13,11,1853,1290
13,12,1830,1371
13,13,1802,1426
13,14,1758,1494
13,15,1680,1557
13,16,1625,1585
13,17,1554,1605
13,18,1483,1603
13,19,1398,1583
13,20,1304,1542
13,21,1216,1479
13,22,1151,1410
13,23,1085,1331
13,24,1035,1245
13,25,1018,1191
13,26,1010,1120
13,27,1018,1039
13,28,1050,962
13,29,1101,903
13,30,1170,852
13,31,1247,813
13,32,1364,781
13,33,1393,775
14,0,1412,747
14,1,1509,759
14,2,1592,778
14,3,1658,807
14,4,1734,859
14,5,1790,911
14,6,1826,959
14,7,1852,1015
14,8,1870,1070
14,9,1883,1128
14,10,1886,1214
14,11,1872,1313
14,12,1848,1387
14,13,1824,1435
14,14,1785,1492
14,15,1736,1543
14,16,1683,1586
14,17,1646,1605
14,18,1591,1621
14,19,1531,1629
14,20,1476,1629
14,21,1410,1611
14,22,1351,1590
14,23,1296,1564
14,24,1206,1508
14,25,1142,1454
14,26,1076,1387
14,27,1024,1321
14,28,984,1239
14,29,969,1180
14,30,966,1091
14,31,984,1012
14,32,1032,925
14,33,1089,869
14,34,1198,801
14,35,1300,768
14,36,1378,749
14,37,1400,747
15,0,1417,709
15,1,1567,733
15,2,1649,761
15,3,1736,813
